ID,iso_alpha,country,continent,income_group,life_expectancy,mean_years_of_schooling,cemission_per_cap,under_5_mortality_rate,prop_internet,whr_score,population,gni,gni_per_capita,ggei,pop_cat
1.0,ABW,Aruba,North America,High income,,,,,,,106537.0,,,,Less than 10 million
2.0,AFG,Afghanistan,Asia,Low income,61.9824,,0.363,58.1,18.4,,40099462.0,73149074277.0,1824.190915,,Greater than 10 million
3.0,AGO,Angola,Africa,Lower middle income,,5.417390823,,72.3,36.0,,34503774.0,189000000000.0,5465.617791,,Greater than 10 million
4.0,ALB,Albania,Europe,Upper middle income,76.4626,11.28645502,,8.52,72.2,53.6,2811666.0,39731962626.0,14131.11039,0.5656770830000001,Greater than 10 million
5.0,ARE,United Arab Emirates,Asia,High income,78.7104,12.69402981,19.8,,,64.6,9365145.0,586000000000.0,62573.59181,0.5065169270000001,Greater than 10 million
,ARG,Argentina,South America,Upper middle income,75.3899,11.14726927,3.53,9.4,85.5,59.0,45808747.0,959000000000.0,20925.26814,0.484980469,Greater than 10 million
7.0,ARM,Armenia,Asia,Upper middle income,72.0431,11.33030033,2.59,11.7,76.5,,2790974.0,,13157.9939,0.468229167,Greater than 10 million
8.0,AUS,Australia,Oceania,High income,,,13.8,3.5,,71.4,25688079.0,1260000000000.0,49238.43335,0.6729882810000001,Greater than 10 million
9.0,AUT,Austria,Europe,High income,81.5797,12.25669003,9.12,3.21,87.5,72.1,8955797.0,480000000000.0,53618.67138,0.7114257810000001,Greater than 10 million
10.0,AZE,Azerbaijan,Asia,Upper middle income,69.3658,10.5429697,3.81,20.1,84.6,,10137750.0,145000000000.0,14256.74456,0.44760416700000005,Greater than 10 million
11.0,BDI,Burundi,Africa,Low income,61.6627,3.129266883,1.08,55.1,,,12551213.0,9184810850.0,731.7867086,0.518522135,Greater than 10 million
12.0,BEL,Belgium,Europe,High income,81.8787,12.37567997,15.4,3.38,91.5,68.4,11592952.0,606000000000.0,52293.39977,,Greater than 10 million
13.0,BEN,Benin,Africa,Lower middle income,59.821,4.304786445,0.654,,25.8,44.1,12996895.0,44305972160.0,3408.965923,0.41932942700000003,Greater than 10 million
,BFA,Burkina Faso,Africa,Low income,59.2696,2.114962259,0.28200000000000003,71.5,,46.4,,46807388280.0,2117.915916,0.400527344,Greater than 10 million
15.0,BGD,Bangladesh,Asia,Lower middle income,72.3811,7.379059792,0.807,27.7,24.8,52.8,169356251.0,927000000000.0,5472.104781,,Greater than 100 million
16.0,BGR,Bulgaria,Europe,Upper middle income,71.798,11.41318035,5.23,6.53,,56.0,6877743.0,,,0.603815104,Greater than 10 million
17.0,BHR,Bahrain,Asia,High income,78.7605,11.04658985,14.8,6.69,99.7,,1463265.0,57794940419.0,39497.24788,0.39922526,Greater than 10 million
18.0,BHS,Bahamas,North America,High income,71.5983,12.64192386,6.87,9.62,87.0,,,12435497489.0,30486.18429,,Less than 10 million
19.0,BIH,Bosnia and Herzegovina,Europe,Upper middle income,75.30030000000001,10.53631973,3.59,5.5,73.2,55.2,3270943.0,49855434031.0,15241.91465,,Greater than 10 million
20.0,BLR,Belarus,Europe,Upper middle income,72.438,12.14358044,,3.26,,,9340314.0,176000000000.0,18848.96704,0.506171875,Greater than 10 million
21.0,BLZ,Belize,North America,Upper middle income,70.4697,8.847599983,1.0,12.4,,,400031.0,2523835493.0,6309.099778,,Less than 10 million
22.0,BOL,Bolivia,South America,Lower middle income,63.6304,9.827750206,1.83,25.4,59.9,55.6,12079472.0,97978894835.0,8111.190194,0.46223307300000005,Greater than 10 million
23.0,BRA,Brazil,South America,Upper middle income,72.7504,8.128813955,2.0,13.5,81.3,61.1,214326223.0,3080000000000.0,14369.88848,0.542285156,Greater than 100 million
,BRB,Barbados,North America,High income,77.5714,9.852700596,,,,,281200.0,3460543089.0,12306.341,,Less than 10 million
25.0,BRN,Brunei Darussalam,Asia,High income,74.6424,9.18,22.6,11.1,,,,28721899694.0,64489.53954,,Less than 10 million
26.0,BTN,Bhutan,Asia,Lower middle income,71.815,5.170262283,,27.4,53.5,,777486.0,7337556400.0,9437.541512,,Less than 10 million
27.0,BWA,Botswana,Africa,Upper middle income,61.1409,10.34,,34.8,64.0,,2588423.0,41928099934.0,,,Greater than 10 million
