ID,iso_alpha,country,continent,income_group,life_expectancy,mean_years_of_schooling,cemission_per_cap,under_5_mortality_rate,prop_internet,whr_score,population,gni,gni_per_capita,ggei,pop_cat
1,ABW,Aruba,North America,High income,,,,,,,106537,,,,Less than 10 million
2,AFG,Afghanistan,Asia,Low income,61.9824,2.98506999,0.363,58.1,18.4,,40099462,73149074277,1824.190915,,Greater than 10 million
3,AGO,Angola,Africa,Lower middle income,61.6434,5.417390823,1.03,72.3,36,,34503774,1.89E+11,5465.617791,,Greater than 10 million
4,ALB,Albania,Europe,Upper middle income,76.4626,11.28645502,2.01,8.52,72.2,53.6,2811666,39731962626,14131.11039,0.565677083,Greater than 10 million
5,ARE,United Arab Emirates,Asia,High income,78.7104,12.69402981,19.8,7.16,100,64.6,9365145,5.86E+11,62573.59181,0.506516927,Greater than 10 million
6,ARG,Argentina,South America,Upper middle income,75.3899,11.14726927,3.53,9.4,85.5,59,45808747,9.59E+11,20925.26814,0.484980469,Greater than 10 million
7,ARM,Armenia,Asia,Upper middle income,72.0431,11.33030033,2.59,11.7,76.5,,2790974,36723618867,13157.9939,0.468229167,Greater than 10 million
8,AUS,Australia,Oceania,High income,84.5265,12.72681999,13.8,3.5,89.6,71.4,25688079,1.26E+12,49238.43335,0.672988281,Greater than 10 million
9,AUT,Austria,Europe,High income,81.5797,12.25669003,9.12,3.21,87.5,72.1,8955797,4.80E+11,53618.67138,0.711425781,Greater than 10 million
10,AZE,Azerbaijan,Asia,Upper middle income,69.3658,10.5429697,3.81,20.1,84.6,,10137750,1.45E+11,14256.74456,0.447604167,Greater than 10 million
11,BDI,Burundi,Africa,Low income,61.6627,3.129266883,1.08,55.1,9.4,,12551213,9184810850,731.7867086,0.518522135,Greater than 10 million
12,BEL,Belgium,Europe,High income,81.8787,12.37567997,15.4,3.38,91.5,68.4,11592952,6.06E+11,52293.39977,0.692526042,Greater than 10 million
13,BEN,Benin,Africa,Lower middle income,59.821,4.304786445,0.654,88.8,25.8,44.1,12996895,44305972160,3408.965923,0.419329427,Greater than 10 million
14,BFA,Burkina Faso,Africa,Low income,59.2696,2.114962259,0.282,71.5,22,46.4,22100683,46807388280,2117.915916,0.400527344,Greater than 10 million
15,BGD,Bangladesh,Asia,Lower middle income,72.3811,7.379059792,0.807,27.7,24.8,52.8,169356251,9.27E+11,5472.104781,0.434798177,Greater than 100 million
16,BGR,Bulgaria,Europe,Upper middle income,71.798,11.41318035,5.23,6.53,70.2,56,6877743,1.59E+11,23078.95595,0.603815104,Greater than 10 million
17,BHR,Bahrain,Asia,High income,78.7605,11.04658985,14.8,6.69,99.7,61.7,1463265,57794940419,39497.24788,0.39922526,Greater than 10 million
18,BHS,Bahamas,North America,High income,71.5983,12.64192386,6.87,9.62,87,,407906,12435497489,30486.18429,,Less than 10 million
19,BIH,Bosnia and Herzegovina,Europe,Upper middle income,75.3003,10.53631973,3.59,5.5,73.2,55.2,3270943,49855434031,15241.91465,,Greater than 10 million
